target_chembl_id,gene_symbol,uniprot_accession,target_name,assay_lane,is_gpcr,small_molecule_moa,ot_project_standard_direct_sm,known_unique_pocket_count,passes_non_gpcr,passes_chembl_small_molecule_moa,passes_supported_target_class,passes_any_experimental_pocket,passes_preferred_experimental_pocket,passes_preferred_druglike_experimental_pocket,in_final_target_set,first_exclusion_reason,target_class_l1,target_class_l2,target_class_l3,target_class_leaf,sequence_length,sequence_sha256,evidence_class,small_molecule_moa_record_count,small_molecule_count,approved_small_molecule_moa,calibration_status,positive_compounds,negative_compounds,strict_document_count,af_exact_sequence_model,af_pdb_path,af_mean_plddt,p2rank_status,p2rank_tier,p2rank_top_score,p2rank_top_probability,pocket_mean_plddt,fpocket_status,fpocket_pocket_count,fpocket_tier,fpocket_top_score,fpocket_top_druggability_score,fpocket_top_volume_A3,p2rank_top3_matches_any_fpocket,best_method_match_p2rank_rank,best_method_match_fpocket_rank,best_method_match_residue_jaccard,best_method_match_center_distance_A,pocket_consensus_class,primary_prediction_policy,predicted_pocket_identified,fragments_expected,fragments_completed,full_sequence_covered,p2rank_positive_fragments,fpocket_positive_fragments,dual_method_positive_fragments,mean_fragment_plddt,structure_strategy,fragment_pocket_evidence_tier,historical_experimental_evidence,historical_experimental_evidence_zh,computed_pocket_evidence,computed_pocket_evidence_zh,evidence_compute_route,next_compute_action_zh,authorization_scope,target_compute_class_zh,class_specific_compute_bundle_zh,wetlab_primary_orthogonal_assay_zh,wetlab_control_design_zh,wetlab_priority,experimental_pocket_status,recovery_scope_reason
CHEMBL3238,CPT2,P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial",ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Transferase,,Transferase,658,d1cd75a0dd4ecc23a4cf430e9fb3d777e219283d6387f3607588492a4216c201,SM_MOA_NON_GPCR,1,1,True,T2_ADEQUATE_POSITIVE_NEGATIVE,34,156,3,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P23786-F1-model_v6.pdb,94.12848024316108,completed,A_HIGH_CONFIDENCE,48.09,0.964,96.26536585365854,completed,48,A_HIGH_DRUGGABILITY_GEOMETRY,0.131,0.026,258.945,True,1.0,42.0,0.8,1.964311360663303,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H2_ADEQUATE_POSITIVE_NEGATIVE,历史正负对照充分,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL5141,CYP26A1,O43174,Cytochrome P450 26A1,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Cytochrome P450,Cytochrome P450 family 26,Cytochrome P450 26A1,497,90595514e8943fb2a0668dc14ea9841297ca49846d9007639f566f839f2e667d,SM_MOA_NON_GPCR,1,1,False,T2_ADEQUATE_POSITIVE_NEGATIVE,77,26,14,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O43174-F1-model_v6.pdb,89.35696177062376,completed,A_HIGH_CONFIDENCE,83.91,0.992,91.49984126984128,completed,27,A_HIGH_DRUGGABILITY_GEOMETRY,0.033,0.003,661.232,True,1.0,25.0,0.4666666666666667,9.40475919918192,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H2_ADEQUATE_POSITIVE_NEGATIVE,历史正负对照充分,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2243,FAAH,O00519,Fatty-acid amide hydrolase 1,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Hydrolase,,Hydrolase,579,230062b9df5cd3cae4733c4846754a164253baff8678a5f36679cc8daff348bd,SM_MOA_NON_GPCR,3,3,True,T1_RICH_POSITIVE_NEGATIVE,1069,210,116,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-O00519-F1-model_v6.pdb,95.34607944732296,completed,A_HIGH_CONFIDENCE,42.08,0.952,97.00807692307691,completed,37,A_HIGH_DRUGGABILITY_GEOMETRY,0.3,0.799,517.575,True,1.0,1.0,0.6428571428571429,2.9266373802671284,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H1_RICH_POSITIVE_NEGATIVE,历史正负对照丰富,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1250375,NOX4,Q9NPH5,NADPH oxidase 4,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Oxidoreductase,,Oxidoreductase,578,45ea878aa8f308e6bac27bbe1c4e2dfa0945622116e9bc1f92526df3e6a9bc72,SM_MOA_NON_GPCR,1,1,False,T2_ADEQUATE_POSITIVE_NEGATIVE,58,22,11,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9NPH5-F1-model_v6.pdb,86.99089965397924,completed,A_HIGH_CONFIDENCE,75.81,0.99,89.89145454545454,completed,48,A_HIGH_DRUGGABILITY_GEOMETRY,0.094,0.019,314.596,True,1.0,45.0,0.6410256410256411,6.415429944544177,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H2_ADEQUATE_POSITIVE_NEGATIVE,历史正负对照充分,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL3145,PIK3CB,P42338,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Transferase,,Transferase,1070,549e89f067b7e11976787b867a566923f91938b9234ea1766f9c05bae8d2f0b4,SM_MOA_NON_GPCR,5,5,False,T1_RICH_POSITIVE_NEGATIVE,1283,237,318,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P42338-F1-model_v6.pdb,86.34905607476637,completed,A_HIGH_CONFIDENCE,18.98,0.765,95.8229411764706,completed,93,B_REVIEWABLE_GEOMETRY,0.068,0.002,203.549,True,4.0,93.0,0.4897959183673469,3.4269193706824885,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H1_RICH_POSITIVE_NEGATIVE,历史正负对照丰富,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1938222,PIKFYVE,Q9Y2I7,1-phosphatidylinositol 3-phosphate 5-kinase,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Transferase,,Transferase,2098,da3b17f4cd227b0ca94d4dcdc252f3ec7e7969b638b367ebf09dd8d7577263ea,SM_MOA_NON_GPCR,2,2,False,T1_RICH_POSITIVE_NEGATIVE,74,111,74,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9Y2I7-F1-model_v6.pdb,63.18204957102002,completed,A_HIGH_CONFIDENCE,35.74,0.934,85.22962962962963,completed,165,A_HIGH_DRUGGABILITY_GEOMETRY,0.046,0.009,264.145,True,1.0,157.0,0.5869565217391305,4.486225369626439,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H1_RICH_POSITIVE_NEGATIVE,历史正负对照丰富,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL3023,SPHK2,Q9NRA0,Sphingosine kinase 2,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,,,Enzyme,654,440707fe07775ac5a8e888c6aef2878f3c2bec58efef7110ba796ec2f53694b0,SM_MOA_NON_GPCR,1,1,False,T1_RICH_POSITIVE_NEGATIVE,95,115,32,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q9NRA0-F1-model_v6.pdb,76.8253363914373,completed,A_HIGH_CONFIDENCE,62.58,0.984,93.27408163265306,completed,45,A_HIGH_DRUGGABILITY_GEOMETRY,0.151,0.002,1130.85,True,1.0,9.0,0.509090909090909,5.79731584968388,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H1_RICH_POSITIVE_NEGATIVE,历史正负对照丰富,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1835,TBXAS1,P24557,Thromboxane-A synthase,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Cytochrome P450,Cytochrome P450 family 5,Cytochrome P450 5A1,533,2527e74d770f31ba23b27e94f47140ab3b881c5f75f5f675cd15269c21c43def,SM_MOA_NON_GPCR,3,3,True,T1_RICH_POSITIVE_NEGATIVE,58,849,22,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P24557-F1-model_v6.pdb,91.33705440900565,completed,A_HIGH_CONFIDENCE,46.35,0.96,94.57714285714285,completed,43,A_HIGH_DRUGGABILITY_GEOMETRY,0.283,0.034,391.239,True,1.0,2.0,0.8048780487804879,1.2828471442676077,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H1_RICH_POSITIVE_NEGATIVE,历史正负对照丰富,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL1973,TYR,P14679,Tyrosinase,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Oxidoreductase,,Oxidoreductase,529,462c157a4444fcbfb9ba57b67f342db52b80887f3370f552ba8e2109caa035e2,SM_MOA_NON_GPCR,3,3,True,T2_ADEQUATE_POSITIVE_NEGATIVE,24,119,34,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-P14679-F1-model_v6.pdb,89.89364839319471,completed,A_HIGH_CONFIDENCE,14.24,0.631,97.37052631578948,completed,38,B_REVIEWABLE_GEOMETRY,0.357,0.138,735.912,True,2.0,4.0,0.8333333333333334,1.4609490411339163,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H2_ADEQUATE_POSITIVE_NEGATIVE,历史正负对照充分,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
CHEMBL2063,UGCG,Q16739,Ceramide glucosyltransferase,ENZYME_BIOCHEMICAL,False,True,True,0,True,True,True,False,False,False,False,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET,Enzyme,Transferase,,Transferase,394,3fa0f2fc8c5395c93141b3c1870f877958a9c3128714567c02f81c25cbb569bf,SM_MOA_NON_GPCR,4,4,True,T2_ADEQUATE_POSITIVE_NEGATIVE,207,21,14,True,/root/autodl-tmp/BioMaster/data/processed/alphafold_receptors_v6/AF-Q16739-F1-model_v6.pdb,93.18934010152284,completed,A_HIGH_CONFIDENCE,70.79,0.988,90.6196551724138,completed,24,A_HIGH_DRUGGABILITY_GEOMETRY,0.134,0.923,1479.384,True,1.0,1.0,0.55,3.1986113611287474,C1_DUAL_METHOD_SAME_SITE,P2RANK_PRIMARY_FPOCKET_CONFIRMED,True,,,,,,,,,,H2_ADEQUATE_POSITIVE_NEGATIVE,历史正负对照充分,P1_P2RANK_FPOCKET_SAME_SITE,P2Rank与fpocket支持同一预测位点,R1_DUAL_POCKET_WITH_MEASURED_CONTROLS,先用历史正负化合物在预测位点建立靶点内分布；通过后运行类别专属GNINA/Boltz,LOCAL_AND_PREDECLARED_REMOTE_ONLY_AFTER_PREDICTED_POCKET_GATE,非激酶酶,辅因子/金属感知预测口袋ensemble；历史正负对照GNINA；Boltz-2多seed；标准或专项MD,纯化酶活性剂量反应 + SPR/BLI/MST或DSF直接结合复核,已知底物/抑制剂、无酶空白、载体、结构相近阴性化合物,W1_IMMEDIATE_CONTROL_AND_BINDING_PANEL,ABSENT_BY_FROZEN_ATLAS,EXCLUDE_NO_ELIGIBLE_EXPERIMENTAL_POCKET
